City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,sola,-13.8833,167.55,73.094,83,100,11.01,VU,08/10/2023
73,afonso claudio,-20.0742,-41.1239,66.52399999999994,86,94,1.25,BR,08/10/2023
74,polyarnyy,69.1989,33.4478,63.698000000000036,78,0,3.53,RU,08/10/2023
75,invercargill,-46.4,168.35,46.02199999999999,68,26,0.45,NZ,08/10/2023
76,aras-asan,8.8908,126.3033,83.62399999999997,72,100,1.88,PH,08/10/2023
77,aykhal,66.0,111.5,67.92800000000005,62,86,8.08,RU,08/10/2023
78,natal,-5.795,-35.2094,74.04800000000006,94,40,4.12,BR,08/10/2023
79,weiser,44.251,-116.9693,84.39799999999997,42,48,1.74,US,08/10/2023
80,sao vicente,-23.9631,-46.3919,72.2659999999999,26,70,2.63,BR,08/10/2023
81,forster,-32.1667,152.5167,73.29199999999997,38,9,2.02,AU,08/10/2023
82,nar'yan-mar,67.6713,53.087,56.49799999999999,75,0,2.76,RU,08/10/2023
83,vilyuchinsk,52.9306,158.4028,73.67000000000002,72,6,3.49,RU,08/10/2023
84,cartagena,10.3997,-75.5144,83.82199999999995,89,20,1.03,CO,08/10/2023
85,iqaluit,63.7506,-68.5145,42.52999999999997,100,100,4.47,CA,08/10/2023
86,alice springs,-23.7,133.8833,74.74999999999994,19,1,5.14,AU,08/10/2023
87,east london,-33.0153,27.9116,59.93599999999998,82,0,4.12,ZA,08/10/2023
88,zhezqazghan,47.7833,67.7667,70.37600000000003,68,40,3.0,KZ,08/10/2023
89,tromso,69.6496,18.957,62.383999999999844,82,100,1.03,NO,08/10/2023
90,hasaki,35.7333,140.8333,89.99599999999992,71,76,4.21,JP,08/10/2023
91,tazovsky,67.4667,78.7,46.238,85,100,9.3,RU,08/10/2023
92,touros,-5.1989,-35.4608,74.5159999999999,84,53,5.87,BR,08/10/2023
93,qamdo,31.1667,97.2333,60.079999999999984,51,84,2.17,CN,08/10/2023
